DCTN2	NM_006400.4	NM_006400	2.0	NM_006400.4:2
CFI	NM_000204.4	NM_000204	3.3	NM_000204.4:70;NM_000204.5:21;NM_001318057.2:1;NM_001375278.1:1
HMCN1	NM_031935.3	NM_031935	437.0	NM_031935.3:437
REEP1	NM_001371279.1	NM_001371279	171.0	NM_001371279.1:171;NM_001164730.2:1
PRDM8	NM_001099403.2	NM_001099403	108.0	NM_001099403.2:108
CP	NM_000096.4	NM_000096	41.2	NM_000096.4:206;NM_000096.3:5;NM_032383.5:4
B2M	NM_004048.3	NM_004048	10.0	NM_004048.3:10;NM_004048.4:1
DCHS1	NM_003737.4	NM_003737	157.0	NM_003737.4:157
ABCB6	NM_005689.4	NM_005689	29.0	NM_005689.4:29
IRF6	NM_006147.4	NM_006147	55.0	NM_006147.4:165;NM_001206696.1:3;NM_006147.3:1
COQ8A	NM_020247.5	NM_020247	86.7	NM_020247.5:260;NM_020247.4:3
ALS2	NM_020919.4	NM_020919	72.8	NM_020919.4:291;NM_020919.3:4
DNAJB2	NM_006736.6	NM_006736	106.0	NM_006736.6:106
KLHL3	NM_017415.3	NM_017415	168.0	NM_017415.3:168
GABRA1	NM_001127644.2	NM_001127644	16.8	NM_001127644.2:268;NM_000806.5:16
ABCB4	NM_000443.4	NM_000443	312.0	NM_000443.4:312
CLN8	NM_018941.3	NM_018941	5.0	NM_018941.3:164;NM_018941.4:33
VCP	NM_007126.5	NM_007126	171.0	NM_007126.5:171;NM_007126.3:1
PAH	NM_000277.3	NM_000277	135.7	NM_000277.3:814;NM_001354304.2:6;NM_000277.2:3
SCN8A	NM_001330260.2	NM_001330260	729.0	NM_001330260.2:729
NKX2-1	NM_001079668.3	NM_001079668	98.0	NM_001079668.3:98
ACTC1	NM_005159.5	NM_005159	4.8	NM_005159.5:304;NM_005159.4:64
ANKRD11	NM_013275.6	NM_013275	534.0	NM_013275.6:534
NOTCH3	NM_000435.3	NM_000435	548.0	NM_000435.3:548
CDKL5	NM_001323289.2	NM_001323289	9.1	NM_001323289.2:537;NM_003159.2:59
PCCB	NM_000532.5	NM_000532	121.5	NM_000532.5:243;NM_001178014.1:2
SLC12A5	NM_020708.5	NM_020708	196.0	NM_020708.5:196;NM_001134771.2:1
PPP2R5D	NM_006245.4	NM_006245	24.0	NM_006245.4:24
PALB2	NM_024675.3	NM_024675	2.7	NM_024675.3:2357;NM_024675.4:878;NM_032486.4:1
MSH2	NM_000251.2	NM_000251	4.1	NM_000251.2:2884;NM_000251.3:709;NM_001258281.1:33;NM_022055.2:10
MSH6	NM_000179.2	NM_000179	3.2	NM_000179.2:3442;NM_000179.3:1087;NM_001281492.1:148;NM_001281493.1:44;NM_025133.4:2;NM_001190274.2:2
MLH1	NM_000249.3	NM_000249	3.6	NM_000249.3:1961;NM_000249.4:547;NM_001167617.2:134;NM_001167618.2:52;NM_001354621.1:51;NM_001354630.1:32;NM_001258271.1:28;NM_001354624.1:13;NM_001354629.1:1;NM_006309.4:1;NM_014805.4:1
APC	NM_000038.6	NM_000038	22.2	NM_000038.6:6881;NM_001127511.3:310;NM_000038.5:85
CLASP1	NM_015282.3	NM_015282	19.0	NM_015282.3:19
RNU4ATAC	NR_023343.1	NR_023343	6.0	NR_023343.1:6
ITPA	NM_033453.4	NM_033453	74.0	NM_033453.4:74
NTHL1	NM_002528.7	NM_002528	413.0	NM_002528.7:413
KCNH2	NM_172056.2	NM_172056	1.8	NM_172056.2:833;NM_000238.4:453;NM_172057.2:308
DPAGT1	NM_001382.4	NM_001382	36.0	NM_001382.4:108;NM_001382.3:3
MPI	NM_002435.3	NM_002435	131.0	NM_002435.3:131;NM_002435.2:1
PARL	NM_018622.7	NM_018622	3.0	NM_018622.7:3
TCTN2	NM_024809.5	NM_024809	166.0	NM_024809.5:166
NAA10	NM_003491.4	NM_003491	48.0	NM_003491.4:48
CCDC22	NM_014008.5	NM_014008	57.0	NM_014008.5:57
ARL13B	NM_001174150.2	NM_001174150	101.0	NM_001174150.2:101
AIFM1	NM_004208.4	NM_004208	154.0	NM_004208.4:154
SHROOM3	NM_020859.4	NM_020859	26.0	NM_020859.4:26
GORAB	NM_152281.2	NM_152281	2.4	NM_152281.2:53;NM_152281.3:22;NM_001320252.2:5
ACTB	NM_001101.5	NM_001101	162.0	NM_001101.5:162
HEXA	NM_000520.6	NM_000520	74.5	NM_000520.6:298;NR_134869.1:4;NM_000520.5:2;NM_000520.4:1
HSD17B4	NM_000414.4	NM_000414	261.0	NM_000414.4:261
ELOVL5	NM_021814.5	NM_021814	7.0	NM_021814.5:7
STAT2	NM_005419.4	NM_005419	85.0	NM_005419.4:85;NM_016584.3:1
SPG11	NM_025137.4	NM_025137	909.0	NM_025137.4:909;NM_025137.3:1
MAP3K20	NM_016653.3	NM_016653	13.0	NM_016653.3:13
NEUROD1	NM_002500.4	NM_002500	1.3	NM_002500.4:39;NM_002500.5:31
POGZ	NM_015100.4	NM_015100	197.0	NM_015100.4:197
FRRS1L	NM_014334.3	NM_014334	1.7	NM_014334.3:63;NM_014334.4:37
SMPD1	NM_000543.5	NM_000543	353.0	NM_000543.5:353;NM_000543.4:1
MRE11	NM_005591.3	NM_005591	2.5	NM_005591.3:691;NM_005591.4:277;NM_005590.4:76;NM_017704.3:1
CHEK2	NM_007194.4	NM_007194	1987.0	NM_007194.4:1987;NM_007194.3:1;NM_145862.2:1
MPLKIP	NM_138701.4	NM_138701	16.0	NM_138701.4:16
IFNAR2	NM_001289125.3	NM_001289125	1.5	NM_001289125.3:3;NM_207585.2:2
RP1L1	NM_178857.6	NM_178857	504.0	NM_178857.6:504
TFRC	NM_001128148.3	NM_001128148	19.0	NM_001128148.3:19
CHRDL1	NM_001143981.2	NM_001143981	18.0	NM_001143981.2:18
LRPPRC	NM_133259.4	NM_133259	216.5	NM_133259.4:433;NM_133259.3:2
SLC13A5	NM_177550.4	NM_177550	4.2	NM_177550.4:203;NM_177550.5:48;NM_001143838.3:4
PNPT1	NM_033109.5	NM_033109	71.0	NM_033109.5:142;NM_033109.4:2
SLC4A1	NM_000342.4	NM_000342	14.7	NM_000342.4:191;NM_000342.3:13
MAG	NM_002361.4	NM_002361	68.0	NM_002361.4:68
JPH1	NM_020647.4	NM_020647	6.0	NM_020647.4:6
PCDH15	NM_033056.4	NM_033056	9.1	NM_033056.4:768;NM_001142771.2:84;NM_001142769.3:14;NM_033056.3:2;NM_001142770.3:1
USH1C	NM_153676.4	NM_153676	420.0	NM_153676.4:420;NM_005709.4:1;NM_005709.3:1
MYO7A	NM_000260.4	NM_000260	277.2	NM_000260.4:1109;NM_000260.3:4
POLK	NM_016218.3	NM_016218	22.0	NM_016218.3:22
PIK3CA	NM_006218.4	NM_006218	317.0	NM_006218.4:317
TG	NM_003235.5	NM_003235	375.0	NM_003235.5:375;NM_003235.4:1
TRPM6	NM_017662.5	NM_017662	47.8	NM_017662.5:191;NM_017662.4:4
STIL	NM_001048166.1	NM_001048166	172.0	NM_001048166.1:172
ANKLE2	NM_015114.3	NM_015114	45.0	NM_015114.3:45
PCCA	NM_000282.4	NM_000282	280.0	NM_000282.4:280;NM_000282.3:1;NM_001127692.2:1
PTCH1	NM_000264.5	NM_000264	589.0	NM_000264.5:1767;NM_001083602.2:3;NM_001083602.3:2;NM_001083603.1:2;NM_000264.4:1
CHD2	NM_001271.4	NM_001271	645.0	NM_001271.4:645;NM_001271.3:1
ATM	NM_000051.3	NM_000051	3.7	NM_000051.3:6321;NM_000051.4:1700;NM_001330368.2:208;NM_001351834.2:56;NM_001351835.1:1
TF	NM_001063.4	NM_001063	24.3	NM_001063.4:73;NM_001354703.2:3
RHAG	NM_000324.2	NM_000324	7.5	NM_000324.2:15;NM_000324.3:2
GNE	NM_005476.7	NM_005476	23.9	NM_005476.7:359;NM_001128227.3:15;NM_001190388.1:3;NM_001128227.2:2
SURF1	NM_003172.4	NM_003172	68.5	NM_003172.4:137;NM_003172.3:2
MORC2	NM_001303256.3	NM_001303256	216.0	NM_001303256.3:216
ACTG2	NM_001615.4	NM_001615	38.0	NM_001615.4:38
RIPPLY2	NM_001009994.2	NM_001009994	6.0	NM_001009994.2:6
MEF2C	NM_002397.5	NM_002397	12.8	NM_002397.5:192;NM_001131005.2:15
ACO2	NM_001098.3	NM_001098	143.0	NM_001098.3:143
UBE3A	NM_130839.5	NM_130839	9.6	NM_130839.5:347;NM_130838.3:36;NM_000462.5:5;NM_130839.4:1;NM_130838.4:1
PLOD1	NM_000302.4	NM_000302	176.0	NM_000302.4:352;NM_000302.3:2
MMAB	NM_052845.4	NM_052845	57.5	NM_052845.4:230;NM_052845.3:4
MC4R	NM_005912.3	NM_005912	44.0	NM_005912.3:88;NM_005912.2:2
NEU1	NM_000434.4	NM_000434	36.5	NM_000434.4:73;NM_000434.3:2
SLC2A1	NM_006516.3	NM_006516	9.6	NM_006516.3:404;NM_006516.4:42;NM_006516.2:12
TPP1	NM_000391.4	NM_000391	137.0	NM_000391.4:411;NM_000391.3:3
RARB	NM_000965.4	NM_000965	17.0	NM_000965.4:34;NM_001290277.1:2;NM_001290216.2:1
SLC9A2	NM_003048.6	NM_003048	1.0	NM_003048.6:1
ACP3	NM_001099.5	NM_001099	5.0	NM_001099.5:5
MDGA1	NM_153487.4	NM_153487	6.0	NM_153487.4:6
PCF11	NM_015885.4	NM_015885	5.0	NM_015885.4:5
CORO7	NM_024535.5	NM_024535	3.0	NM_024535.5:3
TP53	NM_001126112.2	NM_001126112	5.3	NM_001126112.2:1549;NM_000546.6:291;NM_001126113.2:13;NM_001126114.2:8;NM_001143992.2:5;NM_000546.5:5;NM_018081.2:3
RASAL3	NM_022904.3	NM_022904	1.0	NM_022904.3:1
MT-ND6	NC_012920.1	NC_012920	101.0	NC_012920.1:101
COL11A2	NM_080680.3	NM_080680	222.5	NM_080680.3:445;NM_080680.2:2
HOMER2	NM_004839.4	NM_004839	19.0	NM_004839.4:19
ADCY5	NM_183357.2	NM_183357	26.0	NM_183357.2:104;NM_183357.3:4
FBLN5	NM_006329.3	NM_006329	120.0	NM_006329.3:120
FMN2	NM_020066.5	NM_020066	79.0	NM_020066.5:79
CUL7	NM_014780.4	NM_014780	2.4	NM_014780.4:163;NM_014780.5:68;NM_001168370.1:3
RAB39B	NM_171998.4	NM_171998	48.0	NM_171998.4:48
NNT	NM_182977.3	NM_182977	31.0	NM_182977.3:31
VPS11	NM_021729.5	NM_021729	19.0	NM_021729.5:19;NM_001290185.2:1;NM_021729.6:1
CA12	NM_001218.5	NM_001218	17.0	NM_001218.5:17
LYST	NM_001301365.1	NM_001301365	1.6	NM_001301365.1:414;NM_000081.4:254;NM_000081.3:1
MUSK	NM_005592.4	NM_005592	216.0	NM_005592.4:216
SMARCAL1	NM_014140.3	NM_014140	1.7	NM_014140.3:121;NM_014140.4:71;NM_001127207.2:3
PHF6	NM_001015877.2	NM_001015877	56.0	NM_001015877.2:56
DYRK1A	NM_001347721.2	NM_001347721	328.0	NM_001347721.2:328
ALDOB	NM_000035.4	NM_000035	166.0	NM_000035.4:166
NBAS	NM_015909.4	NM_015909	115.0	NM_015909.4:115
ABCD1	NM_000033.4	NM_000033	210.0	NM_000033.4:420;NM_000033.3:2
COL11A1	NM_001854.4	NM_001854	468.0	NM_001854.4:468;NM_080629.2:1
KIF1B	NM_015074.3	NM_015074	1.3	NM_015074.3:251;NM_001365951.3:192;NM_001365951.2:7;NM_183416.4:2
PTPN22	NM_015967.7	NM_015967	16.0	NM_015967.7:16;NM_015967.6:1
AP4B1	NM_001253852.3	NM_001253852	116.0	NM_001253852.3:116;NM_006594.5:1
NOTCH2	NM_024408.4	NM_024408	351.0	NM_024408.4:351
ACP6	NM_016361.5	NM_016361	4.0	NM_016361.5:4
VPS45	NM_007259.5	NM_007259	81.0	NM_007259.5:81
NES	NM_006617.2	NM_006617	17.0	NM_006617.2:17
MIB2	NM_080875.3	NM_080875	22.0	NM_080875.3:22
GABRD	NM_000815.5	NM_000815	116.0	NM_000815.5:116
LAMB3	NM_000228.3	NM_000228	85.5	NM_000228.3:342;NM_000228.2:4
HSPG2	NM_005529.7	NM_005529	830.0	NM_005529.7:830
DISP1	NM_032890.5	NM_032890	74.0	NM_032890.5:74
LBR	NM_002296.4	NM_002296	33.8	NM_002296.4:135;NM_194442.2:4
ENAH	NM_001008493.3	NM_001008493	7.0	NM_001008493.3:7
NID1	NM_002508.3	NM_002508	38.0	NM_002508.3:38
RYR2	NM_001035.3	NM_001035	1662.0	NM_001035.3:3324;NM_001035.2:2
FUCA1	NM_000147.4	NM_000147	4.7	NM_000147.4:71;NM_000147.5:15
GRHL3	NM_198173.3	NM_198173	29.0	NM_198173.3:29;NM_001199013.2:1;NM_198173.2:1
HNRNPU	NM_031844.3	NM_031844	198.0	NM_031844.3:198;NM_031844.2:1
NLRP3	NM_004895.4	NM_004895	3.6	NM_004895.4:239;NM_001243133.1:67;NM_001243133.2:62;NM_001079821.2:11
CNKSR1	NM_006314.3	NM_006314	20.0	NM_006314.3:20
AHDC1	NM_001371928.1	NM_001371928	1.3	NM_001371928.1:89;NM_001029882.3:69
PRDM16	NM_022114.4	NM_022114	492.0	NM_022114.4:492
SZT2	NM_001365999.1	NM_001365999	756.0	NM_001365999.1:756
KCNAB2	NM_001199861.2	NM_001199861	26.0	NM_001199861.2:26
DOCK7	NM_001367561.1	NM_001367561	331.0	NM_001367561.1:331
ARHGAP29	NM_004815.4	NM_004815	22.0	NM_004815.4:22
GPR39	NM_001508.3	NM_001508	5.0	NM_001508.3:5
MMADHC	NM_015702.3	NM_015702	86.0	NM_015702.3:86
NEB	NM_001271208.2	NM_001271208	541.6	NM_001271208.2:2708;NM_001271208.1:5;NM_004543.5:1;NM_001164507.1:1
ITGB6	NM_000888.5	NM_000888	38.0	NM_000888.5:38
IFIH1	NM_022168.4	NM_022168	225.0	NM_022168.4:225
KLHL41	NM_006063.3	NM_006063	62.0	NM_006063.3:62
ATF2	NM_001880.4	NM_001880	5.0	NM_001880.4:5
HOXD13	NM_000523.4	NM_000523	35.0	NM_000523.4:35
AGPS	NM_003659.4	NM_003659	200.0	NM_003659.4:200
TTN	NM_001267550.2	NM_001267550	478.0	NM_001267550.2:13863;NM_133379.5:29;NM_001256850.1:26;NM_003319.4:15;NM_133378.4:11;NM_133379.4:1
FANCD2	NM_033084.5	NM_033084	1.3	NM_033084.5:146;NM_001018115.3:115;NM_173472.2:53;NM_001018115.2:12
ITGA4	NM_000885.6	NM_000885	12.0	NM_000885.6:12
ZNF804A	NM_194250.2	NM_194250	8.0	NM_194250.2:8
COL3A1	NM_000090.3	NM_000090	2.5	NM_000090.3:1089;NM_000090.4:429
NRP2	NM_003872.3	NM_003872	31.0	NM_003872.3:31
APOB	NM_000384.3	NM_000384	2081.0	NM_000384.3:2081;NM_000384.2:1
RASA2	NM_006506.5	NM_006506	2.5	NM_006506.5:32;NM_006506.4:13;NM_001303245.2:1
MBNL1	NM_001376819.1	NM_001376819	1.0	NM_001376819.1:1
NLGN1	NM_014932.5	NM_014932	7.0	NM_014932.5:7
MUC4	NM_018406.7	NM_018406	15.0	NM_018406.7:15
COL4A4	NM_000092.4	NM_000092	1.5	NM_000092.4:371;NM_000092.5:241
MFF	NM_001277062.2	NM_001277062	39.0	NM_001277062.2:39
UGT1A9	NM_021027.3	NM_021027	4.0	NM_021027.3:4;NM_019075.2:1
COL6A3	NM_004369.3	NM_004369	4.8	NM_004369.3:1156;NM_004369.4:239;NM_057164.5:31;NM_057166.5:26
KIF1A	NM_004321.7	NM_004321	6.2	NM_004321.7:727;NM_004321.8:117;NM_001244008.1:20;NM_001244008.2:2
D2HGDH	NM_152783.5	NM_152783	180.0	NM_152783.5:180
GAL3ST2	NM_022134.3	NM_022134	2.0	NM_022134.3:2
NRXN1	NM_001330078.2	NM_001330078	26.0	NM_001330078.2:781;NM_001135659.2:30;NM_138735.4:4;NM_138735.4::1
EXOC6B	NM_015189.3	NM_015189	16.0	NM_015189.3:16
ALMS1	NM_015120.4	NM_015120	9.0	NM_015120.4:1436;NM_001378454.1:159
MOGS	NM_006302.3	NM_006302	138.0	NM_006302.3:138
DOK1	NM_001197260.1	NM_001197260	1.0	NM_001197260.1:1
USF3	NM_001009899.4	NM_001009899	2.0	NM_001009899.4:2
ZBTB20	NM_001348803.2	NM_001348803	15.0	NM_001348803.2:60;NM_001348800.3:4
UROC1	NM_144639.3	NM_144639	50.0	NM_144639.3:50
MBD4	NM_003925.3	NM_003925	3.0	NM_003925.3:3
NPHP3	NM_153240.5	NM_153240	189.5	NM_153240.5:379;NM_153240.4:2
RYK	NM_002958.3	NM_002958	1.0	NM_002958.3:4;NM_001005861.2:4
CNTN6	NM_001289080.2	NM_001289080	20.0	NM_001289080.2:20
RNF168	NM_152617.4	NM_152617	29.0	NM_152617.4:29
RUBCN	NM_014687.4	NM_014687	46.0	NM_014687.4:46
NGLY1	NM_018297.4	NM_018297	178.0	NM_018297.4:178;NM_001145294.1:1
EOMES	NM_001278182.2	NM_001278182	14.0	NM_001278182.2:14
GPD1L	NM_015141.3	NM_015141	10.4	NM_015141.3:156;NM_015141.4:15
CTNNB1	NM_001904.4	NM_001904	157.0	NM_001904.4:157
LARS2	NM_015340.4	NM_015340	129.0	NM_015340.4:129
PTPN23	NM_015466.4	NM_015466	33.0	NM_015466.4:33
CACNA2D2	NM_001174051.3	NM_001174051	282.0	NM_001174051.3:282
RFT1	NM_052859.4	NM_052859	169.0	NM_052859.4:169;NM_052859.3:1
FLNB	NM_001457.4	NM_001457	499.0	NM_001457.4:499
LMOD3	NM_198271.4	NM_198271	2.2	NM_198271.4:89;NM_198271.5:41;NM_001304418.2:2
FOXP1	NM_032682.6	NM_032682	5.8	NM_032682.6:221;NM_032682.5:38;NM_001244810.1:1;NM_001244808.2:1
CENPE	NM_001813.3	NM_001813	85.0	NM_001813.3:85
LARP7	NM_016648.4	NM_016648	45.0	NM_016648.4:45;NM_015454.2:1
PRSS12	NM_003619.4	NM_003619	137.0	NM_003619.4:137
KIAA1109	NM_015312.3	NM_015312	39.0	NM_015312.3:39
PLK4	NM_014264.5	NM_014264	42.0	NM_014264.5:42
LRBA	NM_001364905.1	NM_001364905	461.0	NM_001364905.1:461
PDGFRA	NM_006206.6	NM_006206	220.0	NM_006206.6:1100;NM_006206.5:5
BMP2K	NM_001040202.2	NM_001040202	1.0	NM_001040202.2:1
COQ2	NM_015697.8	NM_015697	15.0	NM_015697.8:75;NM_001358921.2:5
BMPR1B	NM_001203.3	NM_001203	160.0	NM_001203.3:160
CLPTM1L	NM_030782.5	NM_030782	3.0	NM_030782.5:3
SPOCK1	NM_004598.4	NM_004598	2.0	NM_004598.4:2
SIL1	NM_022464.5	NM_022464	134.0	NM_022464.5:134
PPP2R2B	NM_181678.2	NM_181678	4.0	NM_181678.2:8;NM_181675.3:2
CDX1	NM_001804.3	NM_001804	1.0	NM_001804.3:1
CAMK2A	NM_015981.4	NM_015981	18.0	NM_015981.4:18;NM_171825.2:1
GRIA1	NM_000827.4	NM_000827	25.0	NM_000827.4:25
GABRG2	NM_198903.2	NM_198903	7.3	NM_198903.2:233;NM_198904.4:32
NKX2-5	NM_004387.4	NM_004387	178.0	NM_004387.4:178
PTGER4	NM_000958.3	NM_000958	1.0	NM_000958.3:1
MOCS2	NM_004531.5	NM_004531	67.0	NM_004531.5:67;NM_176806.3:1
ZSWIM6	NM_020928.2	NM_020928	34.0	NM_020928.2:34
BDP1	NM_018429.3	NM_018429	63.0	NM_018429.3:63
MSH3	NM_002439.5	NM_002439	1014.0	NM_002439.5:1014
ADGRV1	NM_032119.4	NM_032119	1242.0	NM_032119.4:1242
PCSK1	NM_000439.5	NM_000439	112.0	NM_000439.5:112
LAMA2	NM_000426.3	NM_000426	7.6	NM_000426.3:1151;NM_000426.4:151;NM_001079823.2:23
MED23	NM_004830.4	NM_004830	59.0	NM_004830.4:59
GRM1	NM_001278064.2	NM_001278064	100.0	NM_001278064.2:100
SYNE1	NM_182961.4	NM_182961	444.3	NM_182961.4:2666;NM_033071.3:6;NM_182961.3:5
ARID1B	NM_020732.3	NM_020732	1.6	NM_020732.3:246;NM_017519.2:155;NM_001374828.1:49;NM_001363725.2:5;NM_001346813.1:5
IGF2R	NM_000876.3	NM_000876	22.0	NM_000876.3:22;NM_000876.4:1
ATXN1	NM_000332.3	NM_000332	10.0	NM_000332.3:20;NM_001357857.2:2
TBXT	NM_003181.3	NM_003181	8.0	NM_003181.3:8
AFDN	NM_001207008.1	NM_001207008	3.0	NM_001207008.1:3
ALDH5A1	NM_001080.3	NM_001080	291.0	NM_001080.3:291
MICA	NM_001177519.3	NM_001177519	6.0	NM_001177519.3:6
TUBB2A	NM_001069.3	NM_001069	38.0	NM_001069.3:38
PPT2	NM_005155.7	NM_005155	1.0	NM_005155.7:1
NOTCH4	NM_004557.4	NM_004557	26.0	NM_004557.4:26
BRD2	NM_005104.4	NM_005104	31.0	NM_005104.4:31
SYNGAP1	NM_006772.3	NM_006772	427.0	NM_006772.3:427
TTBK1	NM_032538.3	NM_032538	8.0	NM_032538.3:8
EFHC1	NM_018100.4	NM_018100	84.3	NM_018100.4:253;NM_018100.3:3
MYO6	NM_004999.4	NM_004999	297.0	NM_004999.4:297;NM_004999.3:1
AP4M1	NM_004722.4	NM_004722	105.0	NM_004722.4:105
IFRD1	NM_001007245.2	NM_001007245	6.0	NM_001007245.2:6
ATP6V0A4	NM_020632.3	NM_020632	122.0	NM_020632.3:122
KMT2C	NM_170606.3	NM_170606	167.0	NM_170606.3:167
DPP6	NM_130797.4	NM_130797	27.0	NM_130797.4:27;NM_001039350.3:1
NCAPG2	NM_017760.7	NM_017760	18.0	NM_017760.7:18
DNAH11	NM_001277115.2	NM_001277115	1100.0	NM_001277115.2:1100
ABCA13	NM_152701.5	NM_152701	40.0	NM_152701.5:40
FIGNL1	NM_001042762.4	NM_001042762	2.0	NM_001042762.4:2
PMS2	NM_000535.7	NM_000535	242.8	NM_000535.7:2428;NM_001322007.1:10;NM_000535.6:6;NM_006303.4:3
MLXIPL	NM_032951.3	NM_032951	44.0	NM_032951.3:44
HIP1	NM_005338.7	NM_005338	33.0	NM_005338.7:33
PCLO	NM_033026.6	NM_033026	87.0	NM_033026.6:87
SEMA3E	NM_012431.3	NM_012431	112.0	NM_012431.3:112
PTCD1	NM_015545.4	NM_015545	10.0	NM_015545.4:10
RRM2B	NM_001172477.1	NM_001172477	4.2	NM_001172477.1:131;NM_015713.5:31;NM_015713.4:7
WASHC5	NM_014846.4	NM_014846	206.0	NM_014846.4:206
TRAPPC9	NM_001160372.4	NM_001160372	16.0	NM_001160372.4:208;NM_031466.7:13;NM_031466.8:4
PLEC	NM_000445.5	NM_000445	189.3	NM_000445.5:2461;NM_201380.4:13;NM_201378.4:4;NM_201384.3:3;NM_201382.4:1
RECQL4	NM_004260.3	NM_004260	2.9	NM_004260.3:1265;NM_004260.4:434;NM_014665.4:1
NRG1	NM_013962.2	NM_013962	1.5	NM_013962.2:20;NM_013956.5:13;NM_013960.5:2
CHD7	NM_017780.4	NM_017780	366.3	NM_017780.4:1099;NM_001316690.1:3;NM_017780.3:1
BHLHE22	NM_152414.5	NM_152414	2.0	NM_152414.5:2
TMEM70	NM_017866.6	NM_017866	111.0	NM_017866.6:111;NM_001040613.2:1
CDK5RAP2	NM_018249.6	NM_018249	293.0	NM_018249.6:293
MRRF	NM_138777.5	NM_138777	1.0	NM_138777.5:1
ENDOG	NM_004435.2	NM_004435	5.0	NM_004435.2:5
POMT1	NM_001077365.2	NM_001077365	221.0	NM_001077365.2:442;NM_007171.3:2
CEL	NM_001807.5	NM_001807	3.0	NM_001807.5:21;NM_001807.6:7
TPRN	NM_001128228.3	NM_001128228	64.0	NM_001128228.3:64
FREM1	NM_144966.5	NM_144966	15.7	NM_144966.5:251;NM_001370060.1:16
APTX	NM_001195248.2	NM_001195248	35.0	NM_001195248.2:105;NM_175073.2:3
PIGO	NM_032634.4	NM_032634	159.0	NM_032634.4:318;NM_032634.3:2
GBA2	NM_020944.3	NM_020944	114.0	NM_020944.3:114
DOCK8	NM_203447.3	NM_203447	2.8	NM_203447.3:485;NM_203447.4:175;NM_001190458.2:2;NM_001193536.1:1
KANK1	NM_015158.5	NM_015158	2.3	NM_015158.5:55;NM_015158.4:24;NM_001354331.1:3;NM_153186.5:3;NM_001256877.2:2;NM_001256876.2:2;NM_001354333.1:1
PCSK5	NM_001372043.1	NM_001372043	18.0	NM_001372043.1:18;NM_001190482.1:1
FANCC	NM_000136.3	NM_000136	785.0	NM_000136.3:785
ALG2	NM_033087.4	NM_033087	54.5	NM_033087.4:109;NM_033087.3:2
FGF8	NM_033164.4	NM_033164	35.0	NM_033164.4:35
SHOC2	NM_007373.3	NM_007373	2.7	NM_007373.3:104;NM_007373.4:38;NM_001269039.2:2
HACD1	NM_014241.4	NM_014241	15.0	NM_014241.4:15
CACNB2	NM_201596.3	NM_201596	343.0	NM_201596.3:343;NM_201590.2:1
ANK3	NM_020987.5	NM_020987	285.0	NM_020987.5:285;NM_001204403.2:1;NM_001204403.1:1
EGR2	NM_000399.5	NM_000399	77.0	NM_000399.5:154;NM_001136178.1:2
SIRT1	NM_012238.5	NM_012238	7.0	NM_012238.5:7
CDH23	NM_022124.6	NM_022124	1273.0	NM_022124.6:1273
DLG5	NM_004747.4	NM_004747	29.0	NM_004747.4:29
SFTPD	NM_003019.5	NM_003019	13.0	NM_003019.5:13
PAPSS2	NM_001015880.2	NM_001015880	46.0	NM_001015880.2:46
DDX10	NM_004398.4	NM_004398	4.0	NM_004398.4:4
