ASIC1	ACCN2
SDHB	SDH
SDHC	PGL3
SDHD	PGL
SDHD	PGL1
BMP2	BMP2A
CAVIN2	SDPR
SEC14L1	SEC14L
SEC14L2	C22orf6
SEC23B	CDAN2
BMP4	BMP2B
SELE	ELAM1
SELE	ELAM
SELL	LYAM1
SELL	LNHR
SELP	GRMP
SEMA3A	SEMAD
SEMA3B	SEMAA
SEMA3C	SEMAE
SEMA3E	SEMAH
SEMA4A	SEMAB
BMP6	VGR
SEMA4D	SEMAJ
SEMA4D	C9orf164
SEMA5A	SEMAF
SEMA5B	SEMAG
SEMA6A	SEMAQ
SEMA6B	SEMAN
SEMA7A	SEMAL
BMP8B	BMP8
SEPTIN3	SEP3
SEPTIN3	SEPT3
SELENOP	SEPP1
BMPR1A	ACVRLK3
BMPR2	PPH1
SRSF1	SFRS1
SRSF2	SFRS2
SCAF11	SFRS2IP
SCAF11	SRSF2IP
SRSF6	SFRS6
SRSF9	SFRS9
SFTPA1	SFTP1
ACHE	YT
SFTPB	SFTP3
SFTPC	SFTP2
SFTPD	SFTP4
SGCA	ADL
SGCB	LGMD2E
SGCE	DYT11
SGCG	DMDA1
SGCG	MAM
SGCG	LGMD2C
BNC1	BNC
SGK1	SGK
SCG5	SGNE1
SGTA	SGT
SH2D1A	IMD5
SH2D1A	LYP
SEM1	SHFD1
SEM1	SHFM1
SEM1	C7orf76
FBXW4	SHFM3
SHH	HPE3
SHH	HLP3
SHMT2	SHMT
ST3GAL1	SIAT4A
ST3GAL2	SIAT4B
ST3GAL4	CGS23
ST3GAL4	SIAT4
ST3GAL4	NANTA3
ST3GAL4	SIAT4C
ST3GAL3	SIAT6
ST3GAL3	MRT12
ST8SIA2	SIAT8B
ST3GAL5	SIAT9
SIGLEC5	CD33L2
SIGLEC6	CD33L
SIGLEC6	CD33L1
SIGLEC7	SIGLEC19P
SIGLEC7	SIGLECP2
PMEL	SILV
SIM2	SIM
SIRT2	SIR2L
SIX1	DFNA23
SIX3	HPE2
SIX5	DMAHP
SIX6	OPTX2
PRMT5	HRMT1L5
PRMT5	SKB1
SKIV2L	SKIV2
SKP1	SKP1A
DST	BPAG1
SLAMF1	SLAM
SLC10A2	ASBT
SLC10A2	ISBT
SLC11A1	LSH
SLC11A1	NRAMP
SLC11A1	NRAMP1
SLC11A2	NRAMP2
SLC40A1	SLC11A3
SLC12A6	KCC3
SLC12A6	ACCPN
SLC14A1	JK
FOXL2	BPES
SLC16A2	DXS128
SLC16A2	AHDS
SLC16A2	MRX22
SLC17A1	NPT1
SLC17A5	SIASD
SLC18A2	VMAT2
SLC19A2	TRMA
BPHL	MCNAA
SLC1A5	RDRC
SLC1A5	M7V1
SLC20A1	GLVR1
SLC20A2	MLVAR
SLC20A2	GLVR2
SLCO3A1	SLC21A11
SLCO2A1	SLC21A2
SLCO2A1	MATR1
SLCO1A2	SLC21A3
SLCO1B1	SLC21A6
SLCO1B3	SLC21A8
SLCO2B1	SLC21A9
SLC22A18	ORCTL2
SLC22A18	BWSCR1A
SLC22A18	IMPT1
SLC22A18	SLC22A1L
SLC22A4	DFNB60
SLC22A5	CDSP
SLC25A1	SLC20A3
SLC25A10	DIC
SLC25A11	SLC20A4
SLC25A13	CTLN2
SLC25A15	ORNT1
SLC25A15	HHH
SLC25A3	PHC
SLC25A4	PEO3
SLC25A4	PEO2
SLC25A4	ANT1
SLC25A6	ANT3
SLC26A2	DTD
SLC27A2	FACVL1
SLC29A1	ENT1
SLC2A1	GLUT1
SLC2A1	GLUT
SLC2A1	HTLVR
SLC2A1	CSE
SLC2A2	GLUT2
SLC2A3	GLUT3
SLC2A4	GLUT4
BRCA2	FANCD1
SLC2A5	GLUT5
SLC30A2	ZNT2
SLC30A3	ZNT3
SLC31A1	COPT1
SLC32A1	VIAAT
SLC34A1	NPT2
SLC34A1	SLC17A2
SLC35A2	UGALT
SLC3A2	MDU1
SLC4A1	EPB3
SLC4A1	AE1
SLC4A1	DI
SLC4A1	WD
SLC4A2	EPB3L1
SLC4A2	AE2
BRD2	BRD2-IT1
SLC5A1	SGLT1
SLC5A2	SGLT2
SLC6A3	DAT1
SLC7A1	ERR
SLC7A1	ATRC1
BABAM2	BRE
SLC7A2	ATRC2
SLC7A7	LPI
SLC7A9	CSNU3
SLC8A1	NCX1
SLC9A1	APNH
SLC9A1	NHE1
SLC9A2	NHE2
SLC9A3	NHE3
SLIT1	SLIL1
SLIT2	SLIL3
SLIT3	SLIL2
SNAI2	SLUG
SMARCA1	SNF2L1
SMARCA1	SNF2L
SMARCA2	SNF2L2
HLTF	SNF2L3
HLTF	SMARCA3
SMARCA4	SNF2L4
SMARCB1	SNF5L1
ARID1A	C1orf4
ARID1A	SMARCF1
SMC1A	SMC1L1
SMC1B	SMC1L2
KDM5C	SMCX
KDM5C	JARID1C
KDM5C	MRX13
SMN1	SMA@
SMN1	SMA
SMO	SMOH
NCAPH	BRRN1
SMPX	DFN6
SMS	SRS
SUMO3	SMT3H1
SIGLEC1	SN
SNAP25	SNAP
SNCA	PARK1
SNCA	PARK4
SIK1	SNF1LK
SNRPB	SNRPB1
BSG	OK
SNRPN	PWCR
SNTA1	SNT1
SNTB1	SNT2B1
BSN	ZNF231
SOAT1	SOAT
SOAT1	STAT
SOD1	ALS
SOD1	ALS1
CAPN15	SOLH
SON	C21orf50
SORL1	C11orf32
SOS1	GINGF
SOX12	SOX22
SOX3	PHP
SOX9	CMD1
SOX9	CMPD1
SPARC	ON
SPG11	KIAA1840
SPG11	ALS5
ATL1	SPG3
ATL1	SPG3A
SPAST	SPG4
SPG7	CMAR
SPOCK1	TIC1
SPOCK1	SPOCK
SPP1	BNSP
SPP1	OPN
SPTBN2	SCA5
SPTLC1	HSN1
SQSTM1	PDB3
SQSTM1	OSIL
SRC	SRC1
SRMS	C20orf148
TRIM21	SSA1
RO60	SSA2
RO60	TROVE2
ABI1	SSH3BP1
SSPN	KRAG
ZNRD2	SSSCA1
BTK	AGMX1
BTK	IMD1
ST14	PRSS14
RECK	ST15
IL24	ST16
BTN1A1	BTN
DENND2B	ST5
ST7	FAM4A1
STAT5A	STAT5
STAU1	STAU
SULT1E1	STE
STEAP1	STEAP
AURKB	STK12
AURKC	STK13
AURKA	STK15
AURKA	STK6
PLK4	STK18
NEK4	STK2
SRPK3	STK23
BRSK2	C11orf7
BRSK2	STK29
CDKL5	STK9
STS	ARSC1
STX1A	STX1
STX3	STX3A
STX5	STX5A
RIOK3	SUDD
SULT1A1	STP
SULT1A1	STP1
SULT1C2	SULT1C1
SULT2A1	STD
SUV39H1	SUV39H
BUB1	BUB1L
VAMP7	SYBL1
SYN1	MRX50
SYT1	SYT
SYT1	SVP65
TBXT	T
TAC1	TAC2
TAC1	NKNA
TAC3	NKNB
TACR1	TAC1R
TACR2	TAC2R
TACR2	NKNAR
EPCAM	M4S1
EPCAM	MIC18
EPCAM	TACSTD1
TACSTD2	M1S1
TAF1	BA2R
TAF1	CCG1
TAF1	CCGS
TAF1	DYT3
TAF2	TAF2B
TAF4	TAF4A
TAF4	TAF2C1
TAF4	TAF2C
TAF4B	TAF2C2
TAF5	TAF2D
TAF6	TAF2E
TAF10	TAF2H
TAF13	TAF2K
TAF15	TAF2N
TAF7L	TAF2Q
BRF1	TAF3B2
BRF1	TAF3C
BRF1	GTF3B
TAL1	TCL5
TARS1	TARS
TAZ	CMD3A
TAZ	EFE2
TAZ	EFE
TSPO	BZRP
TBCE	KCS
TBCE	HRD
SERPINA7	TBG
TBL1X	TBL1
TBP	GTF2D1
TBP	SCA17
TBX1	VCF
TBX10	TBX7
TBX15	TBX14
TWNK	IOSCA
TWNK	C10orf2
TBX22	CPX
TBX22	CLPA
TBX3	UMS
TBX5	HOS
CEP55	C10orf3
TCAP	LGMD2G
ELOC	TCEB1
ELOA	TCEB3
HNF1A	MODY3
HNF1A	TCF1
ZNF354A	TCF17
HNF1B	TCF2
ZEB1	TCF8
ZEB1	PPCD3
MLX	TCFL4
DAGLA	C11orf11
RASSF7	C11orf13
DYNLT3	TCTE1L
ACO1	IREB1
AKIP1	C11orf17
ELP4	C11orf19
TEAD1	TCF13
TEAD1	AA
VPS51	C11orf3
VPS51	C11orf2
TECTA	DFNA12
TECTA	DFNA8
TECTA	DFNB21
TMBIM6	TEGT
TEK	VMCM
TERF1	TRBF1
TERF2	TRBF2
TFAM	TCF6
TFAM	TCF6L2
TFAP2A	TFAP2
TFAP2A	AP2TF
TFF1	BCEI
TFF2	SML1
TFPI	LACI
TGFB1	TGFB
TGFB1	DPD1
TGFB3	ARVD1
TGFB3	ARVD
ZNHIT2	C11orf5
TGFBI	CSD3
TGFBI	LCD1
TGFBI	CSD1
TGFBI	CSD2
TGFBR1	MSSE
TGFBR1	ESS1
TGFBR2	MFS2
TGIF1	HPE4
TGIF1	TGIF
TGM1	ICR2
TCHH	THH
THPO	MGDF
THRA	THRA1
THRA	THRA2
THRA	ERBA1
THRB	ERBA2
THRB	PRTH
THRSP	LPGP1
TIE1	TIE
MYRF	C11orf9
KLF11	TIEG2
TRIM24	TIF1
TIMM13	TIMM13B
TIMM8A	DFN1
TIMP1	TIMP
TIMP1	CLGI
NKX2-1	NKX2A
NKX2-1	BCH
NKX2-1	TITF1
TJP2	DFNA51
ANO2	C12orf3
ANO2	TMEM16B
TLN1	TLN
SEC62	TLOC1
TLR5	SLEB1
TSPAN7	MXS1
TSPAN7	TM4SF2
TSPAN7	MRX58
TSPAN8	TM4SF3
TSPAN6	TM4SF6
TRAPPC10	TMEM1
CEMIP2	TMEM2
TMPRSS3	DFNB10
TMPRSS3	DFNB8
AHSA1	C14orf3
TNF	TNFA
NPAP1	C15orf2
TNFRSF11A	PDB2
TNFRSF11A	LOH18CR1
TNFRSF11B	OPG
TNFRSF25	TNFRSF12
TNFRSF17	BCMA
TNFRSF1A	TNFR1
TNFRSF1B	TNFR2
TNFRSF4	TXGP1L
CD40	TNFRSF5
MRPL46	C15orf4
FAS	FAS1
FAS	APT1
FAS	TNFRSF6
CD27	TNFRSF7
TNFRSF8	CD30
TNFRSF8	D1S166E
TNFRSF9	ILA
TNFSF13B	TNFSF20
TNFSF4	TXGP1
CD40LG	HIGM1
CD40LG	IMD3
CD40LG	TNFSF5
FASLG	APT1LG1
FASLG	TNFSF6
CD70	CD27LG
CD70	TNFSF7
TNNC1	TNNC
TNNI2	AMCD2B
TNNI3	CMD2A
TNNT2	CMH2
TNNT2	CMD1D
MED12	TNRC11
MED12	FGS1
EP400	TNRC12
GIGYF2	PERQ2
GIGYF2	PERQ3
GIGYF2	TNRC15
GIGYF2	PARK11
BHLHE22	TNRC20
BHLHE22	BHLHB5
CELF3	TNRC4
CNPY3	TNRC5
TNRC6A	TNRC6
TOX3	TNRC9
TNS1	TNS
TNS1	MXRA6
TNXB	TNXB1
TNXB	TNXB2
TOB2	TROB2
TOMM70	TOMM70A
TOP2A	TOP2
TOP3A	TOP3
TPH1	TPRH
TPH1	TPH
TPM1	C15orf13
TPM1	CMH3
TPM2	AMCD1
TPM3	NEM1
CRISP2	GAPDL5
CRISP2	TPX1
HSP90B1	TRA1
FBXW10	C17orf1
FBXW10	C17orf1A
FMNL1	C17orf1B
FMNL1	FMNL
GIPC1	C19orf3
GIPC1	RGS19IP1
TREX1	AGS1
SERPING1	C1NH
CRNN	C1orf10
TRIP10	STOT
ZNHIT3	TRIP3
JMJD1C	TRIP8
EGLN1	C1orf12
TRPC6	FSGS2
TRPM2	TRPC7
TSC1	TSC
TSC2	TSC4
UBQLN4	C1orf6
CEP41	TSGA14
RSPH1	TSGA2
TSPY1	TSPY
TSPYL1	TSPYL
EIPR1	TSSC1
TMEM59	C1orf8
MYOT	TTID
MYOT	LGMD1A
MYOT	LGMD1
SUCO	C1orf9
TTN	CMD1G
TTPA	AVED
TTR	PALB
TTR	CTS1
TUBA4A	TUBA1
TUBA8	TUBAL2
TUBG1	TUBG
TULP1	RP14
TWIST1	ACS3
TWIST1	BPES3
TWIST1	TWIST
TWIST1	CRS
C1QBP	HABP1
TXNL1	TXNL
TYMS	TS
TYRO3	RSE
TYROBP	PLOSL
C1QC	C1QG
TYRP1	TYRP
TYRP1	CAS2
U2AF1	U2AFBP
UAP1	SPAG2
UBAP1	UBAP
UBA1	A1S9T
UBA1	GXP1
UBA1	UBE1
UBA7	UBE1L
TPX2	C20orf2
TPX2	C20orf1
UBE2V1	UBE2V
UBE3A	EPVE6AP
UBE3A	HPVE6A
ACP3	ACPP
SUMO1	UBL1
UBL4A	UBL4
UCHL1	PARK5
UCP1	UCP
UCP2	BMIQ4
UFD1	UFD1L
SCGB1A1	UGB
FAM3B	C21orf11
UGT1A1	UGT1
UGT1A1	GNT1
UGT8	CGT
UNC13B	UNC13
UNG	DGU
UPP1	UP
UPK3A	UPK3
UQCRB	UQBP
USH1C	DFNB18
CFAP410	C21orf2
USH2A	USH2
CLRN1	USH3
CLRN1	USH3A
CLRN1	RP61
USP4	UNP
USP6	HRP1
USP6	TRESMCR
USP7	HAUSP
UTRN	DMDL
KDM6A	UTX
VAMP1	SYB1
VAV1	VAV
C2CD2	C21orf25
TSPEAR	C21orf29
TSPEAR	DFNB98
VEGFA	VEGF
VEGFB	VRF
VIL1	VIL
EZR	VIL2
BEST1	VMD2
TRPV1	VR1
VSX1	PPCD
VWF	F8VWF
WARS1	IFI53
WARS1	WARS
GATD3A	C21orf33
WAS	IMD2
WAS	THC
WIPF1	WASPIP
MLXIPL	WBSCR14
BRWD1	C21orf107
BRWD1	WDR9
WFS1	DFNA6
WFS1	DFNA14
WFS1	DFNA38
FOXN1	WHN
FOXN1	RONU
NSD2	WHSC1
NSD3	WHSC1L1
NELFA	WHSC2
CCN4	WISP1-OT1
CCN4	WISP1-UT1
CCN4	WISP1
CCN5	WISP2
CCN6	WISP3
WNT1	INT1
WNT9A	WNT14
WNT9B	WNT15
WNT2	INT1L1
WNT2B	WNT13
WNT3	INT4
WT1	GUD
XBP1	XBP2
XG	PBDX
XK	NA
XK	NAC
XRCC1	RCC
YARS1	YARS
YWHAB	YWHAA
YWHAZ	YWHAD
ZAP70	SRK
MIS18A	C21orf46
MIS18A	C21orf45
ZKSCAN5	ZFP95
ZIC3	HTX1
ZNF106	ZFP106
ZNF107	ZNF588
ZNF112	ZFP112
ZNF112	ZNF228
ACTA1	ACTA
DOP1B	C21orf5
DOP1B	DOPEY2
ZNF133	ZNF150
ZNF135	ZNF61
ZNF135	ZNF78L1
ZNF141	D4S90
PCGF2	ZNF144
PCGF2	RNF110
ZBTB16	ZNF145
TRIM25	ZNF147
ZBTB17	ZNF151
ZBTB17	ZNF60
VEZF1	ZNF161
RNF112	ZNF179
DNAJC28	C21orf55
RNF113A	ZNF183
SPATC1L	C21orf56
ZMYM2	ZNF198
YBEY	C21orf57
ZSCAN10	ZNF206
CFAP298	C21orf48
CFAP298	C21orf59
TSHZ2	C20orf17
TSHZ2	ZNF218
KAT6A	ZNF220
KAT6A	RUNXBP2
KAT6A	MYST3
ZNF224	ZNF255
ZNF224	ZNF27
ZMYM5	ZNF237
ZBTB18	ZNF238
MRAP	C21orf61
ZMYM6	ZNF258
ZPR1	ZNF259
ZMYM3	ZNF261
CBY1	C22orf2
CBY1	PGEA1
ZNF277	ZNF277P
PATZ1	ZNF278
RHBDD3	C22orf3
SCAPER	ZNF291
LTN1	C21orf98
LTN1	C21orf10
LTN1	ZNF294
LTN1	RNF160
TBC1D22A	C22orf4
ZNF33B	ZNF11B
ZKSCAN1	ZNF139
ZKSCAN1	ZNF36
MZF1	ZNF42
ZNF44	ZNF58
ZNF44	ZNF55
ZNF48	ZNF553
TTLL1	C22orf7
ZNF711	ZNF6
ZNF711	MRX65
ZNF75D	ZNF82
ZNF75D	ZNF75
ZNF81	MRX45
ZNF83	ZNF816B
EML4	C2orf2
ZNF93	ZNF505
GCFC2	TCF9
GCFC2	C2orf3
ZNF99	C19orf9
IKZF1	ZNFN1A1
IKZF2	ZNFN1A2
IKZF3	ZNFN1A3
ZFYVE1	ZNFN2A1
ZP3	ZP3A
ZP3	ZP3B
STRADB	ALS2CR2
TRAK2	ALS2CR3
TIMMDC1	C3orf1
ARL6	BBS3
ATP2C1	BCPM
BCL11A	EVI9
BCL11B	ZNF856B
RASSF8	C12orf2
ANP32A	C15orf1
URI1	C19orf2
TMEM59L	C19orf4
EVA1C	C21orf64
EVA1C	C21orf63
EVA1C	FAM176C
LMBR1	C7orf2
CDH22	C20orf25
CKLF	CKLF1
FTSJ1	MRX9
FTSJ1	MRX44
CLEC4A	CLECSF6
CLEC4C	CLECSF11
CLEC4C	CLECSF7
ERO1A	ERO1L
ESPN	DFNB36
SLC30A9	C4orf1
LGR4	GPR48
MYOZ2	C4orf5
GSDMA	GSDM
GSDMA	GSDM1
HDAC8	HDACL1
HDAC8	WTS
HDAC8	MRXS6
RTL6	LDOC1L
FAM53C	C5orf6
KDM3B	C5orf7
KDM3B	JMJD1B
C5AR1	C5R1
NIF3L1	ALS2CR1
TSPAN32	TSSC6
TSPAN32	PHEMX
PRUNE1	PRUNE
RLIM	RNF12
TRAF3IP2	C6orf4
TRAF3IP2	C6orf5
TRAF3IP2	C6orf6
TRAF3IP2	C6orf2
TRIM17	RNF16
RNF19A	RNF19
ROBO3	HGPPS
RPGRIP1	RPGRIP
SLITRK2	SLITL1
SLITRK2	TMEM257
SLITRK2	CXorf1
SAMD9	C7orf5
SAMD9L	C7orf6
ZNF253	ZNF411
ASZ1	C7orf7
ASZ1	ANKL1
ZBTB20	ZNF288
FEZF2	ZNF312
TLNRD1	MESDC1
MESD	MESDC2
PTTG1IP	C21orf3
PTTG1IP	C21orf1
VPS9D1	C16orf7
B3GNT3	TMEM3
RXYLT1	TMEM5
MARK4	MARKL1
ATP10A	ATP10C
VN1R1	VNR19I1
OSGIN2	C8orf1
IFT122	WDR10
ERLIN2	C8orf2
ERLIN2	SPFH2
ERLIN2	SPG18
PAXBP1	C21orf66
PAXBP1	GCFC1
FBXW8	FBXO29
FBXL3	FBXL3A
KDM2A	FBXL11
FBXW11	FBXW1B
AOPEP	C9orf3
KDM2B	FBXL10
FBXL17	FBXO13
FRRS1L	C9orf4
FBH1	FBXO18
TMEM245	C9orf5
ADIPOQ	ACDC
BDP1	TFNR
BDP1	TAF3B1
SCUBE3	CEGF3
ADAMTS13	C9orf8
MPP4	DLG6
DCHS1	CDH25
DCHS1	PCDH16
IL22RA1	IL22R
MAK16	RBM13
TMEM187	CXorf12
GPR182	ADMR
KMT2C	MLL3
CDH23	DFNB12
CDH23	USH1D
BRINP2	FAM5B
CA4	RP17
RBPJL	RBPSUHL
RELT	TNFRSF19L
IL25	IL17E
CA5A	CA5
BCO1	BCDO
BCO1	BCDO1
BCO1	BCMO1
ATP12A	ATP1AL1
SLCO1C1	SLC21A14
CA8	CALS
MMS19	MMS19L
WDR11	BRWD2
ADGRA1	GPR123
ADGRA3	GPR125
ADGRG6	GPR126
CABP2	DFNB93
NUDT21	CPSF5
RIPOR2	C6orf32
RIPOR2	FAM65B
FOXP2	TNRC10
FOXP2	SPCH1
CACNA1A	CACNL1A4
CACNA1A	SCA6
CACNA1A	MHP1
CACNA1A	MHP
CACNA1B	CACNL1A5
CACNA1C	CCHL1A1
CACNA1C	CACNL1A1
DMRT3	DMRTA3
CACNA1D	CCHL1A2
CACNA1D	CACNL1A2
DDX39B	BAT1
BAG6	BAT3
CACNA1E	CACNL1A6
CACNA1F	CSNB2
CACNA1F	AIED
CCHCR1	C6orf18
LY6G5B	C6orf19
LY6G6F	LY6G6D
LY6G6F	C6orf21
LY6G6C	C6orf24
MPIG6B	C6orf25
SLC44A4	C6orf29
GPSM3	C6orf9
CACNA1S	HOKPP
CACNA1S	MHS5
CACNA1S	CACNL1A3
NELFE	RDBP
CACNA2D1	CACNL2A
CACNA2D1	CACNA2
CACNA2D1	MHS3
CACNA2D1	LINC01112
PRDM9	MSBP3
ANO3	C11orf25
ANO3	TMEM16C
TRPV6	ECAC2
OPN3	ECPN
CACNB1	CACNLB1
SMC2	SMC2L1
SMC4	SMC4L1
CELF4	BRUNOL4
CACNB2	MYSB
CACNB2	CACNLB2
CACNB3	CACNLB3
CELF5	BRUNOL5
CELF6	BRUNOL6
REV1	REV1L
HDAC4	BDMR
HDAC7	HDAC7A
ATP1A4	ATP1AL2
CERS2	LASS2
ZSCAN31	ZNF310P
ZSCAN31	ZNF323
CNOT7	CAF1
XPO7	RANBP16
NPRL3	C16orf35
EHMT2	C6orf30
EHMT2	BAT8
MSRB1	SEPX1
CCDC78	C16orf25
LMF1	C16orf26
LMF1	TMEM112
FAM234A	C16orf9
FAM234A	ITFG3
RPUSD1	C16orf40
CIAO3	NARFL
PDIA2	PDIP
JPH3	TNRC22
SLC25A20	CACT
SUN2	UNC84B
NSD1	STO
RSPH6A	RSHL1
MED15	TNRC7
MED15	PCQAP
NOCT	CCRN4L
PCDH19	EFMR
IRF2BPL	C14orf4
NLGN4X	NLGN4
SHANK2	CORTBP1
LPAR3	EDG7
S1PR5	EDG8
ACTC1	ACTC
CSRNP1	AXUD1
XIRP1	CMYA1
XIRP2	CMYA3
UNC45B	CMYA4
CMYA5	C5orf10
IFT81	CDV1
MRTFA	MKL1
CALB1	CALB
HTRA2	PRSS25
ERO1B	ERO1LB
CALCA	CALC1
SCYL1	NTKL
GLMN	VMGLOM
NLRP1	NALP1
NLRP1	SLEV1
ACP4	ACPT
NHP2	NOLA2
NOP10	NOLA3
CDRT1	FBXW10P1
ACTG1	ACTG
ACTG1	DFNA20
ACTG1	DFNA26
SLC25A19	MCPHA
ELOVL4	STGD2
ELOVL4	STGD3
ELOVL4	SCA34
CALM1	CALML2
TMEM237	ALS2CR4
CARF	ALS2CR8
RAPH1	ALS2CR9
RAPH1	ALS2CR18
C2CD6	ALS2CR11
PARD3B	ALS2CR19
TAS1R1	GPR70
LPIN3	LIPN3L
MACROH2A2	H2AFY2
SLC39A11	C17orf26
MRPL28	MAAT1
ACTG2	ACTL3
ACTG2	ACTA3
MIOX	ALDRL6
RNF213	C17orf27
RNF213	KIAA1618
RNF213	MYMY2
WNK1	PRKWNK1
WNK1	HSN2
WNK2	SDCCAG43
WNK2	PRKWNK2
WNK3	PRKWNK3
WNK4	PRKWNK4
CDHR1	PCDH21
CLEC4D	CLECSF8
CLEC7A	CLECSF12
SORBS1	SH3D5
VPS45	VPS45B
VPS45	VPS45A
PINK1	PARK6
IMMP2L	IMMP2L-IT1
CAMK2A	CAMKA
ECI2	PECI
CAMK2B	CAMKB
PAPPA2	PLAC3
CAMK2D	CAMKD
CAMK2G	CAMKG
CRELD1	AVSD2
ADAMTSL1	C9orf94
ABCA12	ICR2B
MMEL1	MMEL2
PCDH15	USH1F
PCDH15	DFNB23
KCTD12	C13orf2
POFUT2	C21orf80
F11R	JAM1
JAM2	C21orf43
OR51B2	OR51B1P
OR2T2	OR2T2P
CAPG	AFCP
CAPN3	LGMD2
CAPN3	LGMD2A
CAPN5	VRNI
COG5	GOLTC1
POLR2M	GRINL1A
ESX1	ESX1L
INTS6	DDX26
ZEB2	ZFHX1B
DNAJB6	LGMD1D
TAS1R2	GPR71
SHPK	CARKL
PLAAT1	HRASLS
CARS1	CARS
ALX1	CART1
PPP1R12C	LENG3
RCC1L	WBSCR16
TAAR8	GPR102
TAAR8	TRAR5
CASK	TNRC8
ASAP3	DDEFL1
CASP1	IL1BC
OR10X1	OR10X1P
OR2W3	OR2W8P
OR2W3	OR2W3P
OR14A16	OR5AT1
CASP2	NEDD2
OR6B2	OR6B2P
OR6B3	OR6B3P
OR2A12	OR2A12P
CASQ1	CASQ
OR10G9	OR10G10P
OR10A4	OR10A4P
CASR	HHC
CASR	HHC1
OR2AG1	OR2AG3
OR4D11	OR4D11P
OR51F1	OR51F1P
CAV1	CAV
MICU1	CBARA1
RUNX1T1	AML1T1
RUNX1T1	CBFA2T1
OR10P1	OR10P1P
OR10P1	OR10P2P
OR10P1	OR10P3P
OR2Z1	OR2Z2
SERPINA6	CBG
CBL	CBL2
PRPF31	RP11
GOLIM4	GOLPH4
GOLM1	GOLPH2
GOLM1	C9orf155
ACBD3	GOLPH1
ACBD3	GOCAP1
MBTPS2	KFSD
P2RX2	DFNA41
SERPINH1	CBP1
SERPINH1	CBP2
SERPINH1	SERPINH2
MANF	ARMET
DYNLRB2	DNCL2B
ADAM33	C20orf153
CBR1	CBR
DIAPH3	AUNA1
SIGLEC12	SIGLECL1
ANKH	CCAL2
ANKH	CMDJ
LILRA6	LILRB6
MBOAT7	LENG4
TSEN34	LENG5
SMYD3	ZNFN3A1
SMYD3	ZMYND1
CBX2	CDCA6
LPAR6	P2RY5
ARID4B	RBP1L1
CHCHD10	C22orf16
IL36RN	IL1F5
IL37	IL1F7
IL36B	IL1F8
QRFPR	GPR103
